algorithm,input_type,n,trial,time_ns,max_depth,recursive_calls
MergeSort,random,1000,1,51000,8,255
MergeSort,random,1000,2,60500,8,255
MergeSort,random,1000,3,58400,8,255
MergeSort,random,1000,4,37500,8,255
MergeSort,random,1000,5,38500,8,255
QuickSort,random,1000,1,82500,8,1000
QuickSort,random,1000,2,81600,7,1000
QuickSort,random,1000,3,78000,7,1000
QuickSort,random,1000,4,76800,7,1000
QuickSort,random,1000,5,75900,7,1000
DeterministicSelect,random,1000,1,36100,9,105
DeterministicSelect,random,1000,2,21800,9,105
DeterministicSelect,random,1000,3,15500,9,105
DeterministicSelect,random,1000,4,14100,9,105
DeterministicSelect,random,1000,5,14300,9,105
ClosestPair,random,1000,1,563800,10,1023
ClosestPair,random,1000,2,632300,10,1023
ClosestPair,random,1000,3,595600,10,1023
ClosestPair,random,1000,4,572700,10,1023
ClosestPair,random,1000,5,591100,10,1023
MergeSort,random,100000,1,11240700,15,32767
MergeSort,random,100000,2,11296700,15,32767
MergeSort,random,100000,3,11180200,15,32767
MergeSort,random,100000,4,11150100,15,32767
MergeSort,random,100000,5,11190700,15,32767
QuickSort,random,100000,1,10207700,12,100000
QuickSort,random,100000,2,10241600,12,100000
QuickSort,random,100000,3,10258600,12,100000
QuickSort,random,100000,4,10342200,13,100000
QuickSort,random,100000,5,10542700,12,100000
DeterministicSelect,random,100000,1,3575900,17,1955
DeterministicSelect,random,100000,2,3583000,17,1955
DeterministicSelect,random,100000,3,3608800,17,1955
DeterministicSelect,random,100000,4,3731600,17,1955
DeterministicSelect,random,100000,5,3732600,17,1955
ClosestPair,random,100000,1,90767300,17,131071
ClosestPair,random,100000,2,98380700,17,131071
ClosestPair,random,100000,3,53391500,17,131071
ClosestPair,random,100000,4,53695700,17,131071
ClosestPair,random,100000,5,53115600,17,131071
MergeSort,random,1000000,1,136255900,18,262143
MergeSort,random,1000000,2,136637800,18,262143
MergeSort,random,1000000,3,135875000,18,262143
MergeSort,random,1000000,4,156611200,18,262143
MergeSort,random,1000000,5,135895600,18,262143
QuickSort,random,1000000,1,117921900,15,1000000
QuickSort,random,1000000,2,117993700,14,1000000
QuickSort,random,1000000,3,117694600,14,1000000
QuickSort,random,1000000,4,118926400,14,1000000
QuickSort,random,1000000,5,117614900,14,1000000
DeterministicSelect,random,1000000,1,35543000,19,8791
DeterministicSelect,random,1000000,2,35867900,19,8791
DeterministicSelect,random,1000000,3,36117400,19,8791
DeterministicSelect,random,1000000,4,36626700,19,8791
DeterministicSelect,random,1000000,5,36652900,19,8791
ClosestPair,random,1000000,1,881712700,20,1048575
ClosestPair,random,1000000,2,865676200,20,1048575
ClosestPair,random,1000000,3,867559700,20,1048575
ClosestPair,random,1000000,4,865581500,20,1048575
ClosestPair,random,1000000,5,906487400,20,1048575
MergeSort,sorted,1000,1,21700,8,255
MergeSort,sorted,1000,2,20800,8,255
MergeSort,sorted,1000,3,20600,8,255
MergeSort,sorted,1000,4,20700,8,255
MergeSort,sorted,1000,5,20200,8,255
QuickSort,sorted,1000,1,47800,8,1000
QuickSort,sorted,1000,2,44500,8,1000
QuickSort,sorted,1000,3,43500,8,1000
QuickSort,sorted,1000,4,42300,8,1000
QuickSort,sorted,1000,5,43200,8,1000
DeterministicSelect,sorted,1000,1,11400,9,99
DeterministicSelect,sorted,1000,2,10800,9,99
DeterministicSelect,sorted,1000,3,10200,9,99
DeterministicSelect,sorted,1000,4,9400,9,99
DeterministicSelect,sorted,1000,5,9600,9,99
ClosestPair,sorted,1000,1,101000,10,1023
ClosestPair,sorted,1000,2,89300,10,1023
ClosestPair,sorted,1000,3,87800,10,1023
ClosestPair,sorted,1000,4,95600,10,1023
ClosestPair,sorted,1000,5,86700,10,1023
MergeSort,sorted,100000,1,3727500,15,32767
MergeSort,sorted,100000,2,3733800,15,32767
MergeSort,sorted,100000,3,3791300,15,32767
MergeSort,sorted,100000,4,3725900,15,32767
MergeSort,sorted,100000,5,3744800,15,32767
QuickSort,sorted,100000,1,4689900,12,100000
QuickSort,sorted,100000,2,4862800,12,100000
QuickSort,sorted,100000,3,4808300,13,100000
QuickSort,sorted,100000,4,4798400,13,100000
QuickSort,sorted,100000,5,4778500,12,100000
DeterministicSelect,sorted,100000,1,888900,16,2017
DeterministicSelect,sorted,100000,2,864900,16,2017
DeterministicSelect,sorted,100000,3,871900,16,2017
DeterministicSelect,sorted,100000,4,864100,16,2017
DeterministicSelect,sorted,100000,5,951000,16,2017
ClosestPair,sorted,100000,1,30123700,17,131071
ClosestPair,sorted,100000,2,29290700,17,131071
ClosestPair,sorted,100000,3,29374500,17,131071
ClosestPair,sorted,100000,4,29980300,17,131071
ClosestPair,sorted,100000,5,28993400,17,131071
MergeSort,sorted,1000000,1,44828800,18,262143
MergeSort,sorted,1000000,2,44984900,18,262143
MergeSort,sorted,1000000,3,44661300,18,262143
MergeSort,sorted,1000000,4,44839200,18,262143
MergeSort,sorted,1000000,5,44659500,18,262143
QuickSort,sorted,1000000,1,52728600,15,1000000
QuickSort,sorted,1000000,2,52173800,15,1000000
QuickSort,sorted,1000000,3,54915400,15,1000000
QuickSort,sorted,1000000,4,51234800,14,1000000
QuickSort,sorted,1000000,5,52622800,14,1000000
DeterministicSelect,sorted,1000000,1,8277900,19,8663
DeterministicSelect,sorted,1000000,2,8289900,19,8663
DeterministicSelect,sorted,1000000,3,10741400,19,8663
DeterministicSelect,sorted,1000000,4,8305800,19,8663
DeterministicSelect,sorted,1000000,5,8513100,19,8663
